image_id,file_name,coverage_regime,ground_truth_vapor_area_fraction,predicted_vapor_area_fraction,union_mask_iou,union_mask_dice,absolute_area_fraction_error,predicted_instances,source_sequence_index,same_nominal_frame_in_training,nearest_training_frame_distance,most_similar_training_file,coco_image_path
8,192.168.0.10_C001H001S0001000029.png,low (<=0.05),0.0,9.765625e-05,0.0,0.0,9.765625e-05,1,1000029,False,1,192.168.0.10_C001H001S0001000109.png,val_images/192.168.0.10_C001H001S0001000029.png
17,192.168.0.10_C001H001S0001000078(2).png,low (<=0.05),0.0068080357142857,0.0128208705357142,0.4671532846715328,0.6368159203980099,0.0060128348214285,51,1000078,True,0,192.168.0.10_C001H001S0001000091.png,val_images/192.168.0.10_C001H001S0001000078(2).png
26,192.168.0.10_C001H001S0001000133.png,low (<=0.05),0.01201171875,0.0178850446428571,0.4996501049685094,0.6663555762949137,0.0058733258928571,90,1000133,False,3,192.168.0.10_C001H001S0001000091.png,val_images/192.168.0.10_C001H001S0001000133.png
6,192.168.0.10_C001H001S0001000019.png,low (<=0.05),0.0131696428571428,0.0228236607142857,0.4349276974416017,0.6062015503875969,0.0096540178571428,168,1000019,True,0,192.168.0.10_C001H001S0001000089(2).png,val_images/192.168.0.10_C001H001S0001000019.png
7,192.168.0.10_C001H001S0001000023.png,low (<=0.05),0.01552734375,0.0215262276785714,0.4988713318284424,0.6656626506024096,0.0059988839285714,147,1000023,False,1,192.168.0.10_C001H001S0001000044.png,val_images/192.168.0.10_C001H001S0001000023.png
5,192.168.0.10_C001H001S0001000011.png,low (<=0.05),0.0161551339285714,0.0240094866071428,0.5065410779696494,0.6724557137895103,0.0078543526785714,150,1000011,False,1,192.168.0.10_C001H001S0001000015.png,val_images/192.168.0.10_C001H001S0001000011.png
16,192.168.0.10_C001H001S0001000074.png,low (<=0.05),0.0239955357142857,0.0333147321428571,0.544360902255639,0.7049659201557936,0.0093191964285714,112,1000074,False,1,192.168.0.10_C001H001S0001000091.png,val_images/192.168.0.10_C001H001S0001000074.png
15,192.168.0.10_C001H001S0001000066.png,low (<=0.05),0.0316824776785714,0.0436802455357142,0.5350951974992896,0.6971492039985191,0.0119977678571428,160,1000066,False,1,192.168.0.10_C001H001S0001000006.png,val_images/192.168.0.10_C001H001S0001000066.png
3,192.168.0.10_C001H001S0001000010c.png,low (<=0.05),0.0336077008928571,0.0418666294642857,0.5137101287073307,0.6787430683918669,0.0082589285714285,188,1000010,True,0,192.168.0.10_C001H001S0001000002.png,val_images/192.168.0.10_C001H001S0001000010c.png
9,192.168.0.10_C001H001S0001000035.png,intermediate (0.05-0.15),0.0582310267857142,0.0640066964285714,0.7506493506493507,0.857566765578635,0.0057756696428571,120,1000035,False,1,192.168.0.10_C001H001S0001000081n.png,val_images/192.168.0.10_C001H001S0001000035.png
