image_id,file_name,ground_truth_vapor_area_fraction,predicted_vapor_area_fraction,signed_area_fraction_error,absolute_area_fraction_error,union_mask_iou,union_mask_dice,predicted_instances,source_sequence_index,same_nominal_frame_in_training,nearest_training_frame_distance,most_similar_training_file,nearest_training_image_correlation,nearest_training_normalized_mae
1,192.168.0.10_C001H001S0001000001.png,0.11802455357142858,0.11650390625,-0.0015206473214285714,0.0015206473214285714,0.7825257130739052,0.8779965498780561,71,1000001,False,1,192.168.0.10_C001H001S0001000077.png,0.9142987894234095,0.03384554993872549
2,192.168.0.10_C001H001S0001000004.png,0.11870814732142858,0.121875,0.0031668526785714286,0.0031668526785714286,0.8404482390608324,0.9133082052768918,70,1000004,True,0,192.168.0.10_C001H001S0001000003.png,0.9578196235521766,0.022993738511029413
3,192.168.0.10_C001H001S0001000010c.png,0.03360770089285714,0.041866629464285716,0.008258928571428572,0.008258928571428572,0.5137101287073307,0.6787430683918669,188,1000010,True,0,192.168.0.10_C001H001S0001000002.png,0.9504965198566762,0.025348977481617647
4,192.168.0.10_C001H001S0001000010h.png,0.13503069196428572,0.12688337053571427,-0.008147321428571429,0.008147321428571429,0.7367252543940795,0.8484073718973048,149,1000010,True,0,192.168.0.10_C001H001S0001000063.png,0.8595471399625629,0.05507094439338235
5,192.168.0.10_C001H001S0001000011.png,0.01615513392857143,0.024009486607142857,0.007854352678571428,0.007854352678571428,0.5065410779696494,0.6724557137895103,150,1000011,False,1,192.168.0.10_C001H001S0001000015.png,0.9722366127041057,0.0151123046875
6,192.168.0.10_C001H001S0001000019.png,0.013169642857142857,0.022823660714285713,0.009654017857142858,0.009654017857142858,0.43492769744160176,0.6062015503875969,168,1000019,True,0,192.168.0.10_C001H001S0001000089(2).png,0.9786011517966781,0.016231521905637255
7,192.168.0.10_C001H001S0001000023.png,0.01552734375,0.02152622767857143,0.005998883928571429,0.005998883928571429,0.49887133182844245,0.6656626506024096,147,1000023,False,1,192.168.0.10_C001H001S0001000044.png,0.9699079166418163,0.016182693780637254
8,192.168.0.10_C001H001S0001000029.png,0.0,9.765625e-05,9.765625e-05,9.765625e-05,0.0,0.0,1,1000029,False,1,192.168.0.10_C001H001S0001000109.png,0.9990551212300559,0.004053213082107843
9,192.168.0.10_C001H001S0001000035.png,0.058231026785714284,0.06400669642857143,0.005775669642857143,0.005775669642857143,0.7506493506493507,0.857566765578635,120,1000035,False,1,192.168.0.10_C001H001S0001000081n.png,0.9483328053701954,0.02508999693627451
10,192.168.0.10_C001H001S0001000039.png,0.2342494419642857,0.23113839285714285,-0.003111049107142857,0.003111049107142857,0.8101361983829833,0.8951107647111723,111,1000039,False,1,192.168.0.10_C001H001S0001000022.png,0.838749036924936,0.0625
11,192.168.0.10_C001H001S0001000045.png,0.10347377232142857,0.10580357142857143,0.002329799107142857,0.002329799107142857,0.6444858583643938,0.7838144123725085,186,1000045,False,1,192.168.0.10_C001H001S0001000010b.png,0.8707305166841884,0.054804783241421566
12,192.168.0.10_C001H001S0001000050.png,0.18776506696428572,0.19037388392857144,0.002608816964285714,0.002608816964285714,0.8282072035613112,0.9060320973990039,122,1000050,False,1,192.168.0.10_C001H001S0001000041.png,0.8340833191855673,0.06413861443014705
13,192.168.0.10_C001H001S0001000054n.png,0.07784598214285714,0.07882254464285714,0.0009765625,0.0009765625,0.8835961086883596,0.9382012466607302,56,1000054,True,0,192.168.0.10_C001H001S0001000053.png,0.9814510061713686,0.013915536917892157
14,192.168.0.10_C001H001S0001000061.png,0.12589285714285714,0.12989676339285713,0.00400390625,0.00400390625,0.6833455747337496,0.8118898281974366,159,1000061,False,1,192.168.0.10_C001H001S0001000040.png,0.8603240453440325,0.0535888671875
