case_label,relationship,states_used,baseline_spearman,leave_one_out_min,leave_one_out_max,max_abs_delta,most_influential_removed_state,spearman_without_most_influential_state,removed_state_ae_quality
5gs_22C,heat_flux_vs_vapor_area,12,0.8881118881118882,0.8545454545454546,0.990909090909091,0.10279720279720272,25,0.990909090909091,caution
5gs_22C,heat_flux_vs_active_length,12,0.9930069930069931,0.990909090909091,1.0,0.006993006993006867,25,1.0,caution
5gs_22C,vapor_area_vs_ae_nonblocked,10,0.7575757575757575,0.7,0.8499999999999999,0.09242424242424241,25,0.8499999999999999,caution
10gs_22C,heat_flux_vs_vapor_area,7,0.5714285714285715,0.4285714285714286,0.6571428571428573,0.1428571428571429,50V,0.4285714285714286,caution
10gs_22C,heat_flux_vs_active_length,7,0.8928571428571429,0.8285714285714287,1.0,0.1071428571428571,55V,1.0,caution
10gs_22C,vapor_area_vs_ae_nonblocked,6,0.6571428571428573,0.6,0.7,0.05714285714285727,30V,0.6,caution
15gs_20C,heat_flux_vs_vapor_area,9,0.8499999999999999,0.7857142857142858,0.9285714285714287,0.07857142857142885,25_ONSET,0.9285714285714287,caution
15gs_20C,heat_flux_vs_active_length,9,0.9666666666666667,0.9523809523809524,0.9761904761904763,0.014285714285714235,45,0.9523809523809524,caution
15gs_20C,vapor_area_vs_ae_nonblocked,8,0.11904761904761905,-0.07142857142857144,0.6785714285714287,0.5595238095238096,55 CHF,0.6785714285714287,caution
25gs_20C,heat_flux_vs_vapor_area,8,0.8095238095238096,0.7142857142857144,0.9285714285714288,0.11904761904761918,45,0.9285714285714288,caution
25gs_20C,heat_flux_vs_active_length,8,0.9285714285714287,0.8928571428571429,0.9285714285714288,0.03571428571428581,50,0.8928571428571429,caution
25gs_20C,vapor_area_vs_ae_nonblocked,8,0.7142857142857144,0.5714285714285715,0.9285714285714288,0.2142857142857144,45,0.9285714285714288,caution
